x_spline,y_spline,y_spline_smoothed
2.158584201142615711e+03,7.489253052076234951e+01,9.171008533116024353e+01
2.186617762196415697e+03,7.680718477958291146e+01,9.334045948209735855e+01
2.214651323250216137e+03,7.858247512684434355e+01,9.498699370735990044e+01
2.242684884304016123e+03,7.983891857436111650e+01,9.664959037915818385e+01
2.270718445357816563e+03,8.031097988879363925e+01,9.832815222502034658e+01
2.298752006411616549e+03,8.081190891563733203e+01,1.000225846740682698e+02
2.326785567465416989e+03,8.228475178763200404e+01,1.017327931855350727e+02
2.354819128519216974e+03,8.471070784948102528e+01,1.034586845031553111e+02
2.382852689573017415e+03,8.679724692113133244e+01,1.052001658719709525e+02
2.410886250626817400e+03,8.823694620673866496e+01,1.069571474895014092e+02
2.438919811680617386e+03,8.867082501843806597e+01,1.087295489037454530e+02
2.466953372734417826e+03,8.919846888350707559e+01,1.105172945858940068e+02
2.494986933788217812e+03,9.054311314293774160e+01,1.123203098492255378e+02
2.523020494842018252e+03,9.256033343577043127e+01,1.141385183851712242e+02
2.551054055895818237e+03,9.437202636665011823e+01,1.159718399776716069e+02
2.579087616949618678e+03,9.560023096826014921e+01,1.178201968799565975e+02
2.607121178003418663e+03,9.690077172473972666e+01,1.196835173457466652e+02
2.635154739057219103e+03,9.827586993560882433e+01,1.215617340741342076e+02
2.663188300111019089e+03,1.000685798014916230e+02,1.234547848728824704e+02
2.691221861164819529e+03,1.013287453483998348e+02,1.253626084356311168e+02
2.719255422218619515e+03,1.033829222950111415e+02,1.272851436389130555e+02
2.747288983272419955e+03,1.058349180250906585e+02,1.292223328214181208e+02
2.775322544326219941e+03,1.083419930504372815e+02,1.311741188055196687e+02
2.803356105380020381e+03,1.105167561663935771e+02,1.331404456411218291e+02
2.831389666433820366e+03,1.121569671264065278e+02,1.351212606412945831e+02
2.859423227487620807e+03,1.140638851320916132e+02,1.371165120668434554e+02
2.887456788541420792e+03,1.162101663616451646e+02,1.391261494274905886e+02
2.915490349595221232e+03,1.183282768195145138e+02,1.411501244527340475e+02
2.943523910649021218e+03,1.203198972588498492e+02,1.431883889076325715e+02
2.971557471702821658e+03,1.216564059628161374e+02,1.452408992098443719e+02
2.999591032756621644e+03,1.221977151510298114e+02,1.473076082846735346e+02
3.027624593810421629e+03,1.225699424722434543e+02,1.493884713441611041e+02
3.055658154864222070e+03,1.244451102736864812e+02,1.514834464331663639e+02
3.083691715918022055e+03,1.288729045081850870e+02,1.535924935862078939e+02
3.111725276971822495e+03,1.352662226483852521e+02,1.557155729970825178e+02
3.139758838025622481e+03,1.411013211710760515e+02,1.578526430642803859e+02
3.167792399079422921e+03,1.443692589347564592e+02,1.600036617744309808e+02
3.195825960133222907e+03,1.461279110343319303e+02,1.621685900270821890e+02
3.223859521187023347e+03,1.472739401320949071e+02,1.643473904428760761e+02
3.251893082240823333e+03,1.501491071082137694e+02,1.665400243329117700e+02
3.279926643294623773e+03,1.546617209152504984e+02,1.687464510943458151e+02
3.307960204348423758e+03,1.596682850904346651e+02,1.709666265728675967e+02
3.335993765402224199e+03,1.649458739472935918e+02,1.732005089038941037e+02
3.364027326456024184e+03,1.699396718478323294e+02,1.754480575585871804e+02
3.392060887509824624e+03,1.753699394012005826e+02,1.777092329628062259e+02
3.420094448563624610e+03,1.803667275635266947e+02,1.799839935016586594e+02
3.448128009617425050e+03,1.852247009711243777e+02,1.822722947058828140e+02
3.476161570671225036e+03,1.904847116578285693e+02,1.845740904069263024e+02
3.504195131725025476e+03,1.964538700456558331e+02,1.868893315160517261e+02
3.532228692778825462e+03,2.023407569802237447e+02,1.892179714343157855e+02
3.560262253832625902e+03,2.067355077852607508e+02,1.915599595872822931e+02
3.588295814886425887e+03,2.099884848530464296e+02,1.939152430437808334e+02
3.616329375940225873e+03,2.130206153274860412e+02,1.962837651381763351e+02
3.644362936994026313e+03,2.158970156162869785e+02,1.986654662812446190e+02
3.672396498047826299e+03,2.185351416534210784e+02,2.010602880952957037e+02
3.700430059101626739e+03,2.198989832936811695e+02,2.034681666669092976e+02
3.728463620155426725e+03,2.201113138072411459e+02,2.058890362859652896e+02
3.756497181209227165e+03,2.207998969996114056e+02,2.083228270801247675e+02
3.784530742263027150e+03,2.228240594184850352e+02,2.107694664509294569e+02
3.812564303316827591e+03,2.241097871880097330e+02,2.132288785796856985e+02
3.840597864370627576e+03,2.216604106483054295e+02,2.157009844737026185e+02
3.868631425424428016e+03,2.159096667127412559e+02,2.181857003174082763e+02
